# time	pulse
1.151549659999999919e+00	1.430000000000000232e-09
1.155466495999999843e+00	1.559999999999999990e-09
1.159383331999999989e+00	1.529999999999999886e-09
1.163300167000000052e+00	1.409999999999999887e-09
1.167217002999999975e+00	1.250000000000000026e-09
1.171133838000000038e+00	1.070000000000000027e-09
1.175050673999999962e+00	9.019999999999999871e-10
1.178967510000000107e+00	7.420000000000000226e-10
1.182884344999999948e+00	6.009999999999999926e-10
1.186801180999999872e+00	4.799999999999999968e-10
1.190718015999999935e+00	3.779999999999999871e-10
1.194634852000000080e+00	2.949999999999999636e-10
1.198551686999999921e+00	2.270000000000000174e-10
1.202468523000000067e+00	1.739999999999999937e-10
1.206385358999999990e+00	1.310000000000000129e-10
1.210302194000000053e+00	9.859999999999998780e-11
1.214219029999999977e+00	7.329999999999999503e-11
1.218135865000000040e+00	5.389999999999999611e-11
1.222052700999999963e+00	3.940000000000000094e-11
1.225969536000000026e+00	2.850000000000000175e-11
1.229886371999999950e+00	2.039999999999999870e-11
1.233803207999999874e+00	1.449999999999999840e-11
1.237720042999999936e+00	1.019999999999999935e-11
1.241636879000000082e+00	7.050000000000000050e-12
1.245553714000000145e+00	4.830000000000000220e-12
1.249470550000000069e+00	3.269999999999999597e-12
1.253387385999999992e+00	2.169999999999999841e-12
1.257304220999999833e+00	1.419999999999999806e-12
1.261221056999999979e+00	9.039999999999999850e-13
1.265137892000000042e+00	5.589999999999999405e-13
1.269054727999999965e+00	3.319999999999999990e-13
1.272971563000000028e+00	1.860000000000000152e-13
1.276888398999999952e+00	9.350000000000000549e-14
1.280805235000000097e+00	3.769999999999999966e-14
1.284722069999999938e+00	5.500000000000000230e-15
1.288638905999999862e+00	-1.170000000000000000e-14
1.292555740999999925e+00	-1.949999999999999895e-14
1.296472577000000070e+00	-2.190000000000000008e-14
1.300389412999999994e+00	-2.120000000000000054e-14
1.304306248000000057e+00	-1.900000000000000108e-14
1.308223083999999981e+00	-1.619999999999999976e-14
1.312139919000000043e+00	-1.340000000000000002e-14
1.316056754999999967e+00	-1.069999999999999953e-14
1.319973590000000030e+00	-8.430000000000000115e-15
1.323890425999999954e+00	-6.509999999999999682e-15
1.327807262000000099e+00	-4.950000000000000365e-15
1.331724096999999940e+00	-3.720000000000000494e-15
1.335640932999999864e+00	-2.760000000000000278e-15
1.339557767999999927e+00	-2.020000000000000086e-15
1.343474604000000072e+00	-1.470000000000000024e-15
1.347391439000000135e+00	-1.059999999999999869e-15
1.351308275000000059e+00	-7.540000000000000247e-16
1.355225110999999982e+00	-5.329999999999999834e-16
1.359141946000000045e+00	-3.729999999999999966e-16
1.363058781999999969e+00	-2.589999999999999685e-16
1.366975616999999810e+00	-1.780000000000000081e-16
1.370892453000000177e+00	-1.209999999999999940e-16
1.374809289000000101e+00	-8.179999999999999306e-17
1.378726124000000164e+00	-5.460000000000000221e-17
1.382642960000000087e+00	-3.609999999999999742e-17
1.386559794999999928e+00	-2.360000000000000076e-17
1.390476630999999852e+00	-1.519999999999999924e-17
1.394393465999999915e+00	-9.630000000000000373e-18
1.398310301999999838e+00	-6.010000000000000376e-18
1.402227138000000206e+00	-3.670000000000000501e-18
1.406143973000000047e+00	-2.179999999999999956e-18
1.410060808999999971e+00	-1.250000000000000089e-18
1.413977644000000033e+00	-6.840000000000000774e-19
1.417894479999999957e+00	-3.449999999999999939e-19
1.421811315000000020e+00	-1.499999999999999963e-19
1.425728150999999944e+00	-4.329999999999999902e-20
1.429644986999999867e+00	1.110000000000000136e-20
1.433561821999999930e+00	3.520000000000000096e-20
1.437478658000000076e+00	4.249999999999999654e-20
1.441395493000000139e+00	4.120000000000000153e-20
1.445312329000000062e+00	3.610000000000000074e-20
1.449229164999999986e+00	2.979999999999999623e-20
1.453145999999999827e+00	2.359999999999999804e-20
1.457062835999999972e+00	1.810000000000000203e-20
1.460979671000000035e+00	1.360000000000000010e-20
1.464896506999999959e+00	1.000000000000000096e-20
1.468813341999999800e+00	7.260000000000000574e-21
1.472730178000000167e+00	5.190000000000000466e-21
1.476647014000000091e+00	3.670000000000000562e-21
1.480563849000000154e+00	2.559999999999999899e-21
1.484480685000000078e+00	1.769999999999999929e-21
1.488397519999999918e+00	1.209999999999999845e-21
1.492314355999999842e+00	8.199999999999999881e-22
1.496231190999999905e+00	5.509999999999999842e-22
1.500148026999999828e+00	3.669999999999999997e-22
1.504064863000000196e+00	2.420000000000000348e-22
1.507981698000000037e+00	1.579999999999999846e-22
1.511898533999999961e+00	1.020000000000000021e-22
1.515815369000000024e+00	6.569999999999999692e-23
1.519732204999999947e+00	4.170000000000000609e-23
1.523649040999999871e+00	2.619999999999999782e-23
1.527565875999999934e+00	1.630000000000000307e-23
1.531482711999999857e+00	9.999999999999999604e-24
1.535399546999999920e+00	6.059999999999999740e-24
1.539316383000000066e+00	3.609999999999999697e-24
1.543233218000000129e+00	2.109999999999999903e-24
1.547150054000000052e+00	1.199999999999999908e-24
1.551066889999999976e+00	6.659999999999998592e-25
1.554983725000000039e+00	3.530000000000000107e-25
1.558900560999999962e+00	1.760000000000000068e-25
1.562817396000000025e+00	7.889999999999999471e-26
1.566734231999999949e+00	2.790000000000000136e-26
1.570651068000000095e+00	2.990000000000000216e-27
1.574567903000000157e+00	-7.779999999999998922e-27
1.578484739000000081e+00	-1.119999999999999986e-26
1.582401574000000144e+00	-1.110000000000000014e-26
1.586318410000000068e+00	-9.629999999999999424e-27
1.590235244999999908e+00	-7.709999999999999981e-27
1.594152080999999832e+00	-5.879999999999999279e-27
1.598068916999999978e+00	-4.329999999999999363e-27
1.601985751999999819e+00	-3.110000000000000091e-27
1.605902588000000186e+00	-2.189999999999999611e-27
1.609819423000000027e+00	-1.510000000000000137e-27
1.613736258999999951e+00	-1.030000000000000097e-27
1.617653094000000014e+00	-6.929999999999999176e-28
1.621569929999999937e+00	-4.610000000000000328e-28
1.625486765999999861e+00	-3.029999999999999636e-28
1.629403600999999924e+00	-1.969999999999999884e-28
1.633320436999999847e+00	-1.269999999999999938e-28
1.637237271999999910e+00	-8.100000000000001236e-29
1.641154108000000056e+00	-5.130000000000000147e-29
1.645070943999999979e+00	-3.220000000000000268e-29
1.648987779000000042e+00	-2.000000000000000167e-29
1.652904614999999966e+00	-1.230000000000000103e-29
1.656821450000000029e+00	-7.509999999999999505e-30
1.660738285999999952e+00	-4.540000000000000098e-30
1.664655121000000015e+00	-2.709999999999999805e-30
1.668571956999999939e+00	-1.610000000000000064e-30
1.672488793000000085e+00	-9.389999999999999451e-31
1.676405628000000148e+00	-5.419999999999999961e-31
1.680322464000000071e+00	-3.079999999999999871e-31
1.684239299000000134e+00	-1.719999999999999740e-31
1.688156135000000058e+00	-9.390000000000000546e-32
1.692072969999999899e+00	-4.999999999999999322e-32
1.695989806000000044e+00	-2.559999999999999815e-32
1.699906641999999968e+00	-1.249999999999999830e-32
1.703823476999999809e+00	-5.629999999999999022e-33
1.707740313000000176e+00	-2.169999999999999772e-33
1.711657148000000017e+00	-5.339999999999999772e-34
1.715573984000000163e+00	1.600000000000000013e-34
1.719490820000000086e+00	3.930000000000000193e-34
1.723407654999999927e+00	4.169999999999999884e-34
1.727324490999999851e+00	3.599999999999999654e-34
1.731241325999999914e+00	2.819999999999999586e-34
1.735158161999999837e+00	2.079999999999999610e-34
1.739074996999999900e+00	1.469999999999999930e-34
1.742991833000000046e+00	1.009999999999999950e-34
1.746908668999999970e+00	6.799999999999999465e-35
1.750825504000000032e+00	4.479999999999999629e-35
1.754742339999999956e+00	2.909999999999999899e-35
1.758659175000000019e+00	1.859999999999999910e-35
1.762576010999999943e+00	1.179999999999999991e-35
1.766492846999999866e+00	7.369999999999999589e-36
1.770409681999999929e+00	4.559999999999999785e-36
1.774326518000000075e+00	2.790000000000000066e-36
1.778243353000000138e+00	1.699999999999999800e-36
1.782160189000000061e+00	1.020000000000000013e-36
1.786077024000000124e+00	6.079999999999999936e-37
1.789993860000000048e+00	3.589999999999999451e-37
1.793910695999999971e+00	2.099999999999999659e-37
1.797827531000000034e+00	1.219999999999999943e-37
1.801744366999999958e+00	7.009999999999999415e-38
1.805661201999999799e+00	3.989999999999999644e-38
1.809578038000000166e+00	2.250000000000000045e-38
1.813494873000000229e+00	1.250000000000000083e-38
1.817411709000000153e+00	6.880000000000000427e-39
1.821328545000000076e+00	3.729999999999999712e-39
1.825245379999999917e+00	1.989999999999999786e-39
1.829162215999999841e+00	1.040000000000000057e-39
1.833079050999999904e+00	5.299999999999999381e-40
1.836995886999999827e+00	2.619999999999999962e-40
1.840912723000000195e+00	1.240000000000000002e-40
1.844829558000000036e+00	5.539999999999999453e-41
1.848746393999999960e+00	2.209999999999999795e-41
1.852663229000000022e+00	6.839999999999999932e-42
1.856580064999999946e+00	4.979999999999999968e-43
1.860496899999999787e+00	-1.709999999999999983e-42
1.864413735999999933e+00	-2.129999999999999677e-42
1.868330571999999856e+00	-1.880000000000000026e-42
1.872247406999999919e+00	-1.450000000000000142e-42
1.876164243000000065e+00	-1.039999999999999842e-42
1.880081078000000128e+00	-7.059999999999999013e-43
1.883997914000000051e+00	-4.659999999999999624e-43
1.887914749000000114e+00	-2.989999999999999923e-43
1.891831585000000038e+00	-1.880000000000000026e-43
1.895748420999999961e+00	-1.169999999999999961e-43
1.899665256000000024e+00	-7.119999999999999277e-44
1.903582091999999948e+00	-4.280000000000000013e-44
1.907498926999999789e+00	-2.549999999999999749e-44
1.911415763000000156e+00	-1.499999999999999867e-44
1.915332599000000080e+00	-8.749999999999999433e-45
1.919249434000000143e+00	-5.049999999999999445e-45
1.923166270000000067e+00	-2.889999999999999442e-45
1.927083104999999907e+00	-1.639999999999999657e-45
1.930999940999999831e+00	-9.189999999999999607e-46
1.934916775999999894e+00	-5.109999999999999808e-46
1.938833611999999817e+00	-2.819999999999999952e-46
1.942750448000000185e+00	-1.539999999999999790e-46
1.946667283000000026e+00	-8.349999999999999968e-47
1.950584118999999950e+00	-4.470000000000000603e-47
1.954500954000000013e+00	-2.369999999999999563e-47
1.958417789999999936e+00	-1.240000000000000065e-47
1.962334624999999999e+00	-6.410000000000000772e-48
1.966251460999999923e+00	-3.259999999999999576e-48
1.970168296999999846e+00	-1.629999999999999788e-48
1.974085131999999909e+00	-7.970000000000000209e-49
1.978001968000000055e+00	-3.790000000000000213e-49
1.981918803000000118e+00	-1.739999999999999764e-49
1.985835639000000041e+00	-7.580000000000001185e-50
1.989752474999999965e+00	-3.040000000000000023e-50
1.993669310000000028e+00	-1.039999999999999771e-50
1.997586145999999951e+00	-2.169999999999999690e-51
2.001502980999999792e+00	7.389999999999998958e-52
2.005419816999999938e+00	1.449999999999999863e-51
2.009336652000000001e+00	1.359999999999999773e-51
2.013253488000000146e+00	1.040000000000000097e-51
2.017170323999999848e+00	7.279999999999999343e-52
2.021087158999999911e+00	4.799999999999999591e-52
2.025003995000000057e+00	3.040000000000000186e-52
2.028920830000000119e+00	1.870000000000000133e-52
2.032837665999999821e+00	1.129999999999999890e-52
2.036754501999999967e+00	6.649999999999999828e-53
2.040671337000000030e+00	3.860000000000000200e-53
2.044588173000000175e+00	2.220000000000000173e-53
2.048505008000000238e+00	1.250000000000000010e-53
2.052421843999999940e+00	7.029999999999998924e-54
2.056338679000000003e+00	3.889999999999999836e-54
2.060255515000000148e+00	2.139999999999999927e-54
2.064172350999999850e+00	1.159999999999999711e-54
2.068089185999999913e+00	6.259999999999999376e-55
2.072006022000000058e+00	3.339999999999999558e-55
2.075922856999999677e+00	1.769999999999999579e-55
2.079839693000000267e+00	9.279999999999998993e-56
2.083756528000000330e+00	4.820000000000000188e-56
2.087673364000000031e+00	2.479999999999999809e-56
2.091590199999999733e+00	1.260000000000000082e-56
2.095507034999999796e+00	6.379999999999999987e-57
2.099423870999999941e+00	3.179999999999999905e-57
2.103340706000000004e+00	1.559999999999999969e-57
2.107257541999999706e+00	7.589999999999998833e-58
2.111174378000000296e+00	3.620000000000000694e-58
2.115091212999999915e+00	1.699999999999999867e-58
2.119008049000000060e+00	7.750000000000000641e-59
2.122924884000000123e+00	3.429999999999999752e-59
2.126841719999999825e+00	1.449999999999999860e-59
2.130758554999999888e+00	5.769999999999998760e-60
2.134675391000000033e+00	2.039999999999999873e-60
2.138592226999999735e+00	5.550000000000000651e-61
2.142509061999999798e+00	2.349999999999999488e-62
2.146425897999999943e+00	-1.249999999999999963e-61
2.150342733000000006e+00	-1.349999999999999967e-61
2.154259569000000152e+00	-1.049999999999999955e-61
2.158176404000000215e+00	-7.209999999999998540e-62
2.162093239999999916e+00	-4.609999999999999474e-62
2.166010076000000062e+00	-2.809999999999999489e-62
2.169926911000000125e+00	-1.659999999999999703e-62
2.173843746999999826e+00	-9.539999999999998883e-63
2.177760581999999889e+00	-5.379999999999998865e-63
2.181677418000000035e+00	-2.979999999999999353e-63
2.185594254000000181e+00	-1.629999999999999797e-63
2.189511089000000243e+00	-8.779999999999997769e-64
2.193427924999999945e+00	-4.679999999999999075e-64
2.197344760000000008e+00	-2.469999999999999774e-64
2.201261596000000154e+00	-1.289999999999999819e-64
2.205178430999999772e+00	-6.649999999999999457e-65
2.209095266999999918e+00	-3.409999999999999715e-65
2.213012103000000064e+00	-1.729999999999999903e-65
